key,german,dutch
"pages.dashboard.findOutMoreText","Aktuelle Mnestix Version","De nieuwste versie van Mnestix"
"pages.dashboard.infrastructure","Infrastruktur","Infrastructuur"
"pages.dashboard.listBtnLabel","Inhalt eines Repositorys sehen","Bekijk wat er al in uw repository staat"
"pages.dashboard.listBtnText","Zur AAS Liste","Ga naar AAS-lijst"
"pages.dashboard.listCardHeader","Auswahl über Liste","Selecteren via lijst"
"pages.dashboard.scanIdLabel","AAS ID oder Asset ID scannen","Scan AAS-ID of Asset-ID"
"pages.dashboard.searchAllInfrastructures","Suche überall","Alles doorzoeken"
"pages.dashboard.welcomeText","Willkommen bei Mnestix","Welkom bij Mnestix"
"pages.discoveryList.errors.noAasFound","Keine AAS für die angegebene ID gefunden","Geen AAS gevonden voor het opgegeven ID"
"pages.discoveryList.errors.noAssetId","Keine Asset ID angegeben.","Geen Asset-ID opgegeven."
"pages.discoveryList.errors.searchFailed","Suche fehlgeschlagen","Zoeken mislukt"
"pages.discoveryList.subtitle","Hier finden Sie alle AAS, die mit der angegebenen Asset ID verknüpft sind.","Hier vindt u alle gerelateerde AAS bij het opgegeven Asset-ID."
"pages.discoveryList.title","AAS mit Asset ID","Gerelateerde AAS bij Asset-ID"
"pages.productViewer.actions.compareButton","Vergleichen","Vergelijken"
"pages.productViewer.actions.download","AAS herunterladen","AAS downloaden"
"pages.productViewer.actions.downloadError","Fehler beim Herunterladen der AAS.","Fout bij het downloaden van AAS."
"pages.productViewer.actions.downloadErrorNoRepo","Kein Repository für die ausgewählte AAS gefunden.","Geen repository gevonden voor de geselecteerde AAS."
"pages.productViewer.actions.toAasView","AAS Ansicht","AAS-weergave"
"pages.productViewer.classification","Produktklassifikation","Classificatie"
"pages.productViewer.error.technicalDataSubmodelNotFound","Technical Data Submodel nicht gefunden","Submodel technische gegevens niet gevonden"
"pages.productViewer.home","Startseite","Home"
"pages.productViewer.markings","Produktkennzeichnungen","Productmarkeringen"
"pages.productViewer.productInfo.articleNumber","Artikelnummer","Artikelnummer"
"pages.productViewer.productInfo.manufacturer","Hersteller","Fabrikant"
"pages.productViewer.productInfo.orderCode","Bestellnummer","Bestelcode"
"pages.productViewer.productInfo.productDesignation","Hersteller Produktbezeichnung","Productaanduiding fabrikant"
"pages.productViewer.summary","Das Wichtigste in Kürze","Kerngegevens"
"pages.productViewer.title","Produkt","Product"
"pages.registryList.errors.noAasFound","Keine AAS für diese ID gefunden","Geen AAS gevonden voor het opgegeven ID"
"pages.registryList.errors.noAasId","Keine AAS ID angegeben.","Geen AAS-ID opgegeven."
"pages.registryList.errors.searchFailed","Suche fehlgeschlagen","Zoeken mislukt"
"pages.registryList.subtitle","Hier befinden sich alle AAS mit der angegebenen AAS ID.","Hier vindt u alle gerelateerde AAS bij het opgegeven AAS-ID."
"pages.registryList.title","AAS mit AAS ID","Gerelateerde AAS bij AAS-ID"
"pages.settings.actions.cancel","Abbrechen","Annuleren"
"pages.settings.actions.editButton","Alle bearbeiten","Alles bewerken"
"pages.settings.actions.resetButton","Auf Default zurücksetzen","Terugzetten naar standaard"
"pages.settings.actions.saveButton","Alle speichern","Alles opslaan"
"pages.settings.header","Einstellungen","Instellingen"
"pages.settings.idStructure.assetIdDocumentation.assetId","Asset ID","Asset-ID"
"pages.settings.idStructure.assetIdDocumentation.dnsHeading","Zugriff via DNS","Toegang via DNS"
"pages.settings.idStructure.assetIdDocumentation.dnsText","Besonders beim ""Brownfield""-Ansatz und als Vertreiber eines Produkts ist es sinnvoll, zusätzlich einen DNS-Zugang über die Asset ID einzurichten, um so einen Datenzugriff über einen herkömmlichen Browser zu ermöglichen.","Vooral voor de brownfield-aanpak en de distributeur van een product is het zinvol om aanvullend DNS-toegang via de asset-ID in te stellen en zo gegevensophaling vanuit conventionele browserapplicaties mogelijk te maken."
"pages.settings.idStructure.assetIdDocumentation.endResult","Endergebnis","Eindresultaat"
"pages.settings.idStructure.assetIdDocumentation.exampleHeading","Beispiel","Voorbeeldcase"
"pages.settings.idStructure.assetIdDocumentation.industry40Heading","Industrie 4.0 Kontext","Industrie 4.0-context"
"pages.settings.idStructure.assetIdDocumentation.industry40Text","Produkte haben eine global einzigartige ID, welche einer oder mehreren Verwaltungsschalen zugewiesen werden kann. Im Industrie 4.0 Kontext wird die Verbindung zwischen Asset und Verwaltungsschale über die I4.0 Infrastruktur hergestellt.","Producten hebben een wereldwijd uniek ID dat aan een of meer asset administration shells kan worden toegewezen. In de context van Industrie 4.0 wordt de verbinding tussen asset en AAS tot stand gebracht via de I4.0-infrastructuur."
"pages.settings.idStructure.assetIdDocumentation.redirectsTo","Leitet weiter auf","Verwijst door naar"
"pages.settings.idStructure.assetIdDocumentation.title","Wie Sie Ihre Asset ID mit Ihrem Repository verbinden","Hoe verbindt u uw Asset-ID met uw AAS-repository"
"pages.settings.idStructure.errors.idStructureError","Fehler beim speichern von ''{name}'' ({reason}).","Fout bij opslaan van ''{name}'' ({reason})."
"pages.settings.idStructure.errors.invalidIri","Muss eine valide IRI sein. Z.B. https://example.com/","Moet een geldige IRI zijn, bijv. https://example.com/"
"pages.settings.idStructure.errors.invalidIriPart","Muss als Teil einer IRI funktionieren können (keine Schrägstriche, Leer- und Sonderzeichen erlaubt)","Moet werken als onderdeel van een IRI (geen schuine strepen, spaties of speciale tekens)"
"pages.settings.idStructure.labels.dynamicPart","dynamischer Teil","dynamisch deel"
"pages.settings.idStructure.labels.idStructureExplanation","Definieren Sie, wie Ihre IDs dargestellt werden sollen. Dies ist eine Basis-Einstellung, die für individuelle Importe angepasst werden kann.","Bepaal hoe uw IDs worden weergegeven. Dit is een standaardinstelling die voor afzonderlijke imports kan worden aangepast."
"pages.settings.idStructure.labels.staticPrefix","statisches Präfix","statisch voorvoegsel"
"pages.settings.idStructure.messages.successfullyUpdated","Erfolgreich aktualisiert","Succesvol bijgewerkt"
"pages.settings.idStructure.title","ID Struktur","ID-structuur"
"pages.settings.infrastructure.form.addEndpoint","Endpunkt hinzufügen","Endpoint toevoegen"
"pages.settings.infrastructure.form.cancel","Abbrechen","Annuleren"
"pages.settings.infrastructure.form.connectionTypes","Verbindungsinterface-Typen","Verbindingsinterfacetypes"
"pages.settings.infrastructure.form.connectionTypesRequired","Mindestens ein Verbindungsinterface-Typ muss ausgewählt werden","Er moet ten minste één verbindingsinterfacetype worden geselecteerd"
"pages.settings.infrastructure.form.createNew","Neue Infrastruktur erstellen","Nieuwe infrastructuur aanmaken"
"pages.settings.infrastructure.form.defaultInfrastructureReadonly","Die Default Infrastruktur kann nur im Deployment über die Environment Variablen geändert werden. Bitte kontaktieren Sie Ihren Administrator um Änderungen vorzunehmen.","De standaardinfrastructuur kan alleen in de deployment via de omgevingsvariabelen worden gewijzigd. Neem contact op met uw beheerder om wijzigingen aan te brengen."
"pages.settings.infrastructure.form.delete","Löschen","Verwijderen"
"pages.settings.infrastructure.form.deleteConfirm","Sind Sie sicher, dass Sie die Infrastruktur löschen möchten? Diese Aktion kann nicht rückgängig gemacht werden.","Weet u zeker dat u de infrastructuur wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt."
"pages.settings.infrastructure.form.deleteDialogTitle","Infrastruktur löschen","Infrastructuur verwijderen"
"pages.settings.infrastructure.form.deleteError","Fehler beim Löschen der Infrastruktur","Verwijderen van infrastructuur mislukt"
"pages.settings.infrastructure.form.deleteSuccess","Infrastruktur erfolgreich gelöscht","Infrastructuur succesvol verwijderd"
"pages.settings.infrastructure.form.deleteWarning","Diese Aktion kann nicht rückgängig gemacht werden und entfernt dauerhaft alle zugehörigen Verbindungen und Sicherheitseinstellungen.","Deze actie kan niet ongedaan worden gemaakt en verwijdert permanent alle bijbehorende verbindingen en beveiligingsinstellingen."
"pages.settings.infrastructure.form.endpointUrl","Endpunkt URL","Endpoint-URL"
"pages.settings.infrastructure.form.endpoints","Endpunkte","Endpoints"
"pages.settings.infrastructure.form.headerKeyCrLfNotAllowed","Der Header-Schlüssel darf keine CRLF-Sequenzen enthalten.","De headersleutel mag geen CRLF-sequenties bevatten."
"pages.settings.infrastructure.form.headerKeyDangerous","Der Header-Schlüssel wird als gefährlich angesehen.","De headersleutel wordt als gevaarlijk beschouwd."
"pages.settings.infrastructure.form.headerKeyInvalidFormat","Der Header-Schlüssel hat kein gültiges Format.","De headersleutel heeft geen geldig formaat."
"pages.settings.infrastructure.form.headerName","Header Name","Headernaam"
"pages.settings.infrastructure.form.headerNameRequired","Header Name ist erforderlich","Headernaam is verplicht"
"pages.settings.infrastructure.form.headerValue","Header Wert","Headerwaarde"
"pages.settings.infrastructure.form.headerValueCrLfNotAllowed","Der Header-Wert darf keine CRLF-Sequenzen enthalten.","De headerwaarde mag geen CRLF-sequenties bevatten."
"pages.settings.infrastructure.form.headerValueIllegalChars","Der Header-Wert darf keine ungültigen Zeichen enthalten.","De headerwaarde mag geen ongeldige tekens bevatten."
"pages.settings.infrastructure.form.headerValueRequired","Header Wert ist erforderlich","Headerwaarde is verplicht"
"pages.settings.infrastructure.form.headerValueTooLong","Der Header-Wert ist zu lang.","De headerwaarde is te lang."
"pages.settings.infrastructure.form.logoUrl","Bild URL","Logo-URL"
"pages.settings.infrastructure.form.name","Name","Naam"
"pages.settings.infrastructure.form.nameAlreadyExists","Eine Infrastruktur mit diesem Namen existiert bereits","Er bestaat al een infrastructuur met deze naam"
"pages.settings.infrastructure.form.nameRequired","Name ist erforderlich","Naam is verplicht"
